#,USER ID,GROUP,ChatID,Status,Notes,
1,A191V7PT3DQKDP,3,--,Delete,"abandoned after control, delete",
2,A2P065E9CYMYJL,3,steve,Delete,"abandoned after control, delete",
3,A326O3VWP8TO8N,3,tak1,OK,,
4,A2YUCJ28XANFOX,3,liz,OK,skipped Control survey,
5,A36SM7QM8OK3H6,3,--,Delete,"abandoned, delete",
6,jenny,3,jen,Delete,admin test user,
7,AKSJ3C5O3V9RB,4,vs,OK,,follow up for interview: AKSJ3C5O3V9RB@gmail.com
8,A11P1OS26E6AMO,4,Doug,OK,,
9,a,4,a,Delete,admin test user,
10,b,4,b,Delete,admin test user,
11,c,4,c,Delete,admin test user,
12,d,4,d,Delete,admin test user,
13,A34UER5ZQ5APMB,7,zztop,OK,lone juror,
14,A2YOVBJ9EXAI8W,7,Gumi,OK,,
15,A3QSFE6GKO157S,7,Jason,OK,,
16,A18SXC3JEN1O0U,7,Daniel,OK,,
17,A1UW0C6QZOT3E7,7,TXJuror,OK,,
18,A2KPT0PEUEXCC4,7,stormy,OK,,
19,A2CNSIECB9UP05,8,i am surya,Delete,indian user,
20,AIEKCWYZTS41V,8,Jin,OK,,
21,A129DU6FOHUVNO,8,--,Delete,"abandoned, delete",
22,A1VPJFCJDIXGW7,8,jio,Delete,indian user,
23,A19LKLAPLXL9B1,8,prithivi ,Delete,indian user,
24,A32IRN8APZMCQ2,8,Joy,OK,,
25,AMTTB8JUWRRM7,9,juror953,OK,,
26,AJTHGXBMZJ3HE,10,sha,OK,lone juror,
27,A3V6XE43H0BFC9,9,GOOGLE,Delete,indian user?,
28,A1P6OXEJ86HQRM,9,Dud,OK,,
29,A2W8ZV9DQWHJK,9,eirippe,OK,,
30,AU2RMH9IZP60M,9,SeagullDF,OK,,
31,A19TL7AJ0FB1JG,9,blueshoe,OK,,
32,A3KRJFPU2W77UB,10,--,Delete,"didn't participate in chat, possible fake submission",
33,A2OVWCQ4B9AHFY,10,Bastion,OK,"had glitches with continuing survey, but did delib",
34,A1IMRSDQ7RO9US,10,HARI,OK,,
35,A2FL477TMKC91L,10,Archer17,OK,possible deliberation glitch,
36,A69RUK0SZV067,11,juror19,OK,"Started as Group 11 (did alone), moved to Group 10, lone juror?",
37,A256FHXGSY0E5D,12,JWbone,OK,,
38,A1PUHCEBSOWETV,12,Steveo,OK,,
39,A1ZT30BGR3266K,12,Katie,OK,,
40,A1GXFMAC759VRM,12,JurorDude,OK,,
41,A3HKMZ9ML9EPUY,12,Steven,OK,,
42,A2INXY39KBM92F,12,Shaun,OK,,
43,AVNXCGTZQ1CFK,14,TimTammy,OK,,
44,A3V1ZYXBJYCIIE,13,Jaybee,OK,,
45,AD14EQ9O9JKRI,13,kjkjkkk,OK,,
46,A3GPTSDDHJ2DBV,13,Gray,OK,,
47,A2SO6K35NMGBB7,13,Spindle,OK,,
48,A28HB7240OFGEW,13,Sean,OK,,
49,A9HQ3E0F2AGVO,13,DA,OK,,
50,A3D70ANCSMGX5F,14,I think that this is pretty insensitive,OK,,
51,A3OW5EFQ5QFD19,14,Jay,OK,,
52,A1IMO5XR05U7S5,14,squee,OK,,
53,A1B76WYZ47BQJ,14,TB,OK,,
54,A273EH17NSJRH0,14,ayayaya,OK,,
55,A3RR85PK3AV9TU,15,k78,OK,,
56,A2WDF40FA670T9,15,Hugh,OK,,
57,A25CFVQND4A0EV,16,Ma,OK,,
58,A2VFEDAK5C1E1O,16,p,OK,,
59,A1JO6AY55FG7QU,16,Penguin19,OK,,
60,AJW3PL5UDH4BP,16,--,Delete,,
61,A2RBF3IIJP15IH,17,Ian Edwards,OK,,
62,ACDTQNYOT3GG8,16,Bianca,OK,,
63,A2B6WQG0A9CKXQ,16,kc,OK,,
64,A2DNLHS1RSTF5R,15,spindle,OK,,
65,A32U64W0S9PUA3,15,Ryan,OK,,
66,AV22FQTJNBUZT,15,Sue,Delete,,
67,A3VZ5K4RRT6NN8,15,joe,OK,,
68,A1VL7507UONPX0,17,kk2,OK,,
69,AA9V4NE8SOA4I,17,Bill,OK,,
70,A1PLQGQ95NICAF,17,James,OK,,
71,ANK8K5WTHJ61C,17,Grace,OK,,
72,A11Q8U6QTT8KGF,17,Decker,OK,,
73,AR8O1107OAW4V,18,Ban?,OK,,
